**Buildings_Street|**Buildings_HouseNum|**Buildings_HouseNumPart|**Table_Documents_BildNum1|**Buildings_LiteraNum|Window~Key|**Buildings_Postal_Iindex|**Table_Documents_AppartNum1|**Buildings_Corn_street|**Buildings_Corn_House|**Buildings_ConstructionNum
"Смоленская площадь"|"8"|"12/1"|"1"||3870|||||
"Малый Знаменский переулок"|"7"|"/10"|"3,2"||3871|||||
"Покровка улица"|"3"|"7"|"1А"||3872|||||
"Б. Коммунистическая улица (Солженицына)"|"3"||"1"||3873|||||
"2-й Волконский переулок"|"8"|"А"|||3874|||||
"Покровка улица"|"1"|"/13/6"|"2"||3875|||||
"Токмаков переулок"|"21"|"/2"|"1"||3876|||||
"Малый Казенный переулок"|"5"||"1"||3877|||||
"Нащокинский переулок"|"8"||||3878|||||
"Земляной Вал улица"|"35"||"1"||3879|||||
"Новый Арбат улица"|"23"||"3"||3880|||||
